UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,19,4272123,2181847,2090276,1603806,1524813,323983,315724,33563,31938,119263,118469,6066,5838,95166,93494,1690599,1609837,372365,363870,55678,53997,154318,152342,13215,12814,1655219,1585412,1145258,1085051,297311,290327,18147,17453,113945,113433,4303,4088,76255,75060,1215025,1153592,336850,329704,32793,32217,143446,141943,9735,9379,526628,504864,458548,439762,26672,25397,15416,14485,5318,5036,1763,1750,18911,18434,475574,456245,35515,34166,22885,21780,10872,10399,3480,3435
R,7,2021,20,4346679,2219066,2127613,1626724,1549503,332220,324142,33452,32259,125421,123638,6049,5950,95200,92121,1713240,1633336,380378,371167,56095,54098,160537,157174,13296,12982,1692773,1623023,1168026,1109240,305699,299115,18355,17808,120151,118735,4342,4126,76200,73999,1237393,1176783,344877,337620,33574,32543,149814,147082,9810,9461,526293,504590,458698,440263,26521,25027,15097,14451,5270,4903,1707,1824,19000,18122,475847,456553,35501,33547,22521,21555,10723,10092,3486,3521
R,7,2021,21,4347378,2218825,2128553,1625701,1548356,336478,328327,33850,32436,124167,123095,6225,5853,92404,90486,1709734,1630219,383103,374794,56761,54729,157498,155504,13270,12789,1699683,1631942,1172893,1115453,310503,303442,18773,18022,118962,118208,4460,4169,74092,72648,1240428,1181346,348498,341400,34231,33205,147200,145508,9838,9438,519142,496611,452808,432903,25975,24885,15077,14414,5205,4887,1765,1684,18312,17838,469306,448873,34605,33394,22530,21524,10298,9996,3432,3351
R,7,2021,22,4278923,2182026,2096897,1602126,1529442,328215,320955,32677,31793,123142,121736,6125,5666,89741,87305,1683544,1608435,373135,365358,55196,53940,155519,152790,13307,12421,1679711,1614465,1164008,1108758,302962,296835,18263,17804,118020,116869,4366,4063,72092,70136,1229574,1172343,339672,333262,33711,33077,145367,142911,9858,9237,502315,482432,438118,420684,25253,24120,14414,13989,5122,4867,1759,1603,17649,17169,453970,436092,33463,32096,21485,20863,10152,9879,3449,3184
R,7,2021,23,4271130,2176169,2094961,1593499,1523284,328776,321934,32572,31814,128580,127507,6131,5736,86611,84686,1671784,1599994,371813,364555,54828,53620,159621,157490,12938,12222,1681294,1620420,1161357,1108942,304173,298437,18101,17978,123632,122684,4456,4122,69575,68257,1224366,1170922,339384,333381,33379,33148,149859,148023,9718,9104,494875,474541,432142,414342,24603,23497,14471,13836,4948,4823,1675,1614,17036,16429,447418,429072,32429,31174,21449,20472,9762,9467,3220,3118
R,7,2021,24,4279887,2177152,2102735,1592500,1527935,327048,321522,32274,31255,135211,133658,6173,5687,83946,82678,1668390,1602433,367997,362565,54581,53325,165542,163023,12857,12255,1686285,1632544,1163934,1117039,302782,298599,17886,17597,130259,128918,4470,4121,66954,66270,1224622,1176811,335862,332047,33149,32882,155856,153712,9598,9171,490867,470191,428566,410896,24266,22923,14388,13658,4952,4740,1703,1566,16992,16408,443768,425622,32135,30518,21432,20443,9686,9311,3259,3084
R,7,2021,25,4309146,2193434,2115712,1604830,1536432,326363,322215,32319,30991,141348,139940,6338,5939,82236,80195,1679055,1608642,365845,361339,54787,52998,171160,168778,12934,12459,1705047,1647197,1177746,1126382,302490,299579,18047,17447,136517,135165,4592,4285,65655,64339,1237109,1184408,334417,331389,33476,32742,161759,159554,9711,9398,488387,468515,427084,410050,23873,22636,14272,13544,4831,4775,1746,1654,16581,15856,441946,424234,31428,29950,21311,20256,9401,9224,3223,3061
R,7,2021,26,4387353,2231579,2155774,1625367,1558429,341773,336408,32726,31708,144874,144304,6501,6243,80338,78682,1697328,1628744,379750,374631,55556,53801,174033,172546,13301,12865,1739969,1684217,1195204,1145839,317436,313142,18512,17916,139908,139596,4753,4537,64156,63187,1252664,1202385,348047,344142,34442,33529,164708,163500,10026,9739,491610,471557,430163,412590,24337,23266,14214,13792,4966,4708,1748,1706,16182,15495,444664,426359,31703,30489,21114,20272,9325,9046,3275,3126
R,7,2021,27,4481186,2278881,2202305,1652542,1582720,357974,352453,33366,32588,150354,150410,6533,6418,78112,77716,1722155,1651892,393958,389414,56302,55320,179058,178340,13455,13097,1781120,1727034,1216208,1166828,333275,328842,19147,18618,145537,145632,4808,4727,62145,62387,1271572,1222367,362135,358820,35156,34780,169867,169306,10200,9940,497761,475271,436334,415892,24699,23611,14219,13970,4817,4778,1725,1691,15967,15329,450583,429525,31823,30594,21146,20540,9191,9034,3255,3157
R,7,2021,28,4554775,2314500,2240275,1674863,1605934,369366,362488,34682,33392,153832,157111,6769,6488,74988,74862,1741452,1672317,403149,397293,57303,56059,181696,184208,13484,13092,1813196,1764352,1235417,1189052,344145,338875,19861,19400,149112,152305,4942,4767,59719,59953,1288459,1242229,371086,366825,35693,35500,172922,175421,10237,9945,501304,475923,439446,416882,25221,23613,14821,13992,4720,4806,1827,1721,15269,14909,452993,430088,32063,30468,21610,20559,8774,8787,3247,3147
